Designator,Mid X,Mid Y,Rotation,Layer
C1,126.35,-115.135,270.0,bottom
C10,284.9,-121.26,90.0,bottom
C11,294.67944,-113.406936,90.0,bottom
C12,286.940384,-123.229584,270.0,bottom
C13,295.870064,-122.03896,180.0,bottom
C14,284.889356,-117.320338,270.0,bottom
C15,283.45,-117.32,270.0,bottom
C16,282.05,-117.33,270.0,bottom
C17,132.58,-136.79,270.0,bottom
C18,135.045,-132.96,0.0,bottom
C19,292.579356,-136.520338,270.0,bottom
C2,139.88,-115.41,270.0,bottom
C20,289.889356,-132.880338,0.0,bottom
C21,141.39,-116.49,90.0,bottom
C22,285.57,-114.59,0.0,bottom
C3,129.778016,-122.634272,0.0,bottom
C4,137.814728,-113.10928,90.0,bottom
C5,128.121203,-115.138127,270.0,bottom
C6,139.89832,-119.360056,90.0,bottom
C7,141.088944,-119.360056,90.0,bottom
C8,142.279568,-119.360056,90.0,bottom
C9,295.870064,-123.52724,180.0,bottom
D1,82.450606,-112.811588,90.0,bottom
D10,119.756856,-123.130338,270.0,bottom
D11,148.331856,-123.130338,270.0,bottom
D12,168.175606,-131.861588,90.0,bottom
D13,187.225606,-131.861588,90.0,bottom
D14,206.275606,-131.861588,90.0,bottom
D15,96.738106,-150.911588,90.0,bottom
D16,115.788106,-150.911588,90.0,bottom
D17,134.838106,-150.911588,90.0,bottom
D18,153.888106,-150.911588,90.0,bottom
D19,172.938106,-150.911588,90.0,bottom
D2,96.738106,-116.530338,0.0,bottom
D20,191.988106,-150.911588,90.0,bottom
D21,106.263106,-169.961588,90.0,bottom
D22,125.313106,-169.961588,90.0,bottom
D23,144.363106,-169.961588,90.0,bottom
D24,163.413106,-169.961588,90.0,bottom
D25,182.463106,-169.961588,90.0,bottom
D26,201.513106,-169.961588,90.0,bottom
D27,158.650636,-189.011564,90.0,bottom
D28,177.700636,-189.011564,90.0,bottom
D29,196.75062,-189.011564,90.0,bottom
D3,115.788106,-116.780338,0.0,bottom
D30,351.531856,-112.811588,90.0,bottom
D31,327.719356,-116.780338,180.0,bottom
D32,308.669356,-116.780338,180.0,bottom
D33,285.154448,-110.13272,180.0,bottom
D34,270.569356,-116.780338,180.0,bottom
D35,251.519356,-116.780338,180.0,bottom
D36,237.231856,-112.811588,90.0,bottom
D37,342.006856,-131.861588,90.0,bottom
D38,322.956856,-131.861588,90.0,bottom
D39,303.906856,-123.130338,270.0,bottom
D4,130.38,-110.728032,180.0,bottom
D40,275.331856,-123.130338,270.0,bottom
D41,265.806856,-131.861588,90.0,bottom
D42,246.756856,-131.861588,90.0,bottom
D43,227.706856,-131.861588,90.0,bottom
D44,327.719356,-150.911588,90.0,bottom
D45,308.669356,-150.911588,90.0,bottom
D46,289.619356,-150.911588,90.0,bottom
D47,270.569356,-150.911588,90.0,bottom
D48,251.519356,-150.911588,90.0,bottom
D49,232.469356,-150.911588,90.0,bottom
D5,153.888106,-116.780338,0.0,bottom
D50,318.194356,-169.961588,90.0,bottom
D51,299.144356,-169.961588,90.0,bottom
D52,280.094356,-169.961588,90.0,bottom
D53,261.044356,-169.961588,90.0,bottom
D54,241.994356,-169.961588,90.0,bottom
D55,222.944356,-169.961588,90.0,bottom
D56,265.806828,-189.011588,90.0,bottom
D57,246.756828,-189.011588,90.0,bottom
D58,227.706844,-189.011564,90.0,bottom
D59,145.85144,-136.640338,0.0,bottom
D6,172.938106,-116.780338,0.0,bottom
D60,281.279356,-136.640338,180.0,bottom
D61,145.553784,-118.764744,0.0,bottom
D62,300.930216,-122.03896,270.0,bottom
D7,196.750606,-112.811588,90.0,bottom
D8,91.975606,-131.861588,90.0,bottom
D9,111.025606,-131.861588,90.0,bottom
F1,116.539356,-136.630338,180.0,bottom
F2,307.949356,-136.630338,0.0,bottom
F3,153.149356,-136.600338,0.0,bottom
F4,271.329356,-136.630338,180.0,bottom
FB1,141.684256,-121.443648,180.0,bottom
FB2,282.75,-115.28,0.0,bottom
J1,106.26302,-103.459154,180.0,bottom
J2,318.193914,-103.45902,180.0,bottom
J3,163.412972,-103.459154,180.0,bottom
J4,261.043962,-103.45902,180.0,bottom
J7,132.242856,-99.71476,270.0,bottom
J8,289.023977,-99.71476,90.0,bottom
MX1,77.688106,-108.049088,0.0,bottom
MX10,125.313106,-127.099088,180.0,bottom
MX11,144.36316,-127.099112,180.0,bottom
MX12,163.413106,-127.099088,0.0,bottom
MX13,182.463106,-127.099088,0.0,bottom
MX14,201.513106,-127.099088,0.0,bottom
MX15,91.975606,-146.149088,0.0,bottom
MX16,111.025606,-146.149088,0.0,bottom
MX17,130.075606,-146.149088,0.0,bottom
MX18,149.125606,-146.149088,0.0,bottom
MX19,168.175606,-146.149088,0.0,bottom
MX2,96.738106,-108.049088,180.0,bottom
MX20,187.225606,-146.149088,0.0,bottom
MX21,101.500606,-165.199088,0.0,bottom
MX22,120.550606,-165.199088,0.0,bottom
MX23,139.600606,-165.199088,0.0,bottom
MX24,158.650606,-165.199088,0.0,bottom
MX25,177.700606,-165.199088,0.0,bottom
MX26,196.750606,-165.199088,0.0,bottom
MX27,153.888136,-184.249064,0.0,bottom
MX28,172.938136,-184.249064,0.0,bottom
MX29,191.98812,-184.249064,0.0,bottom
MX3,115.788184,-108.049128,180.0,bottom
MX30,346.769356,-108.049088,0.0,bottom
MX31,327.719356,-108.049088,180.0,bottom
MX32,308.669356,-108.049088,180.0,bottom
MX33,289.619356,-108.049088,0.0,bottom
MX34,270.569356,-108.049088,180.0,bottom
MX35,251.519356,-108.049088,180.0,bottom
MX36,232.469356,-108.049088,0.0,bottom
MX37,337.244356,-127.099088,0.0,bottom
MX38,318.194356,-127.099088,0.0,bottom
MX39,299.144356,-127.099088,180.0,bottom
MX4,134.838106,-108.049088,0.0,bottom
MX40,280.094356,-127.099088,180.0,bottom
MX41,261.044356,-127.099088,0.0,bottom
MX42,241.994356,-127.099088,0.0,bottom
MX43,222.944356,-127.099088,0.0,bottom
MX44,322.956856,-146.149088,0.0,bottom
MX45,303.906856,-146.149088,0.0,bottom
MX46,284.856856,-146.149088,0.0,bottom
MX47,265.806856,-146.149088,0.0,bottom
MX48,246.756856,-146.149088,0.0,bottom
MX49,227.706856,-146.149088,0.0,bottom
MX5,153.888106,-108.049088,180.0,bottom
MX50,313.431856,-165.199088,0.0,bottom
MX51,294.381856,-165.199088,0.0,bottom
MX52,275.331856,-165.199088,0.0,bottom
MX53,256.281856,-165.199088,0.0,bottom
MX54,237.231856,-165.199088,0.0,bottom
MX55,218.181856,-165.199088,0.0,bottom
MX56,261.044328,-184.249088,0.0,bottom
MX57,241.994328,-184.249088,0.0,bottom
MX58,222.944344,-184.249064,0.0,bottom
MX6,172.938106,-108.049088,180.0,bottom
MX7,191.988122,-108.049088,0.0,bottom
MX8,87.213106,-127.099088,0.0,bottom
MX9,106.263106,-127.099088,0.0,bottom
R1,100.310062,-105.030338,270.0,bottom
R10,142.87488,-113.704592,0.0,bottom
R11,273.68,-103.88,180.0,bottom
R12,273.68,-101.99,180.0,bottom
R13,277.713048,-121.145992,90.0,bottom
R14,279.201328,-121.145992,90.0,bottom
R15,280.987264,-121.145992,270.0,bottom
R16,282.475544,-121.145992,270.0,bottom
R17,125.313176,-135.731136,180.0,bottom
R18,125.313176,-137.12,0.0,bottom
R19,301.07,-137.12,0.0,bottom
R2,112.216322,-105.072617,270.0,bottom
R20,301.07,-135.83,180.0,bottom
R21,148.232688,-118.764744,180.0,bottom
R22,301.36,-119.657712,180.0,bottom
R23,121.145992,-101.16,180.0,bottom
R24,305.395056,-101.18843,0.0,bottom
R3,312.241318,-105.072483,270.0,bottom
R4,324.147578,-105.072483,270.0,bottom
R5,150.31628,-102.393664,0.0,bottom
R6,150.31628,-103.584288,0.0,bottom
R7,142.87488,-108.942096,180.0,bottom
R8,142.87488,-110.430376,180.0,bottom
R9,142.87488,-112.216312,0.0,bottom
SW1,124.122552,-102.096008,270.0,bottom
SW2,301.227872,-101.20304,180.0,bottom
U1,134.064954,-117.951878,270.0,bottom
U10,289.899356,-135.430338,90.0,bottom
U2,290.799356,-118.320338,90.0,bottom
U3,116.581856,-102.83,90.0,bottom
U4,308.669356,-102.85,270.0,bottom
U5,153.47,-102.99,270.0,bottom
U6,270.56,-102.94,90.0,bottom
U7,129.529356,-136.010338,90.0,bottom
U8,296.659356,-136.220338,270.0,bottom
U9,135.045,-135.42,90.0,bottom
